0,text,polarity,subjectivity,sentiment,neg,neu,pos,compound
"RT @pug_oddie: Do you believe in Doge?
#DogeToTheMoon 
#dogecoin #dogearmy https://t.co/vSKNpQnuNd"," do you believe in doge?
#dogetothemoon 
#dogecoin #dogearmy https://t.co/vsknpqnund",0.0,0.0,neutral,0.0,1.0,0.0,0.0
Be Ready Check this out everyone right now Retweets Spread The Words #dogecoin #doge #1000fordogecoin #teamdogecoin #altseason #dogerule #dogecointo1dollar #dogecointo100 #DOGE #dogetothemoon #dogearmy #DogecoinRise #ElonDOGE 👍👍✌🤑🐕🐶👋😍🍩🍩🤣😂 https://t.co/4yhrG41h7p,be ready check this out everyone right now retweets spread the words #dogecoin #doge #1000fordogecoin #teamdogecoin #altseason #dogerule #dogecointo1dollar #dogecointo100 #doge #dogetothemoon #dogearmy #dogecoinrise #elondoge 👍👍✌🤑🐕🐶👋😍🍩🍩🤣😂 https://t.co/4yhrg41h7p,0.24285714285714285,0.5178571428571428,positive,,,,
"You tweeted this on my birthday🙏🏾
And just for that, we will see Dogecoin at $1 soon friend 👌🏾🤞🏾

#dogecoin #DogeCoinTo1Dollar #doge #dogearmy #dogetothemoon #Dogefather https://t.co/gXw4OdSkdH","you tweeted this on my birthday🙏🏾
and just for that, we will see dogecoin at $1 soon friend 👌🏾🤞🏾

#dogecoin #dogecointo1dollar #doge #dogearmy #dogetothemoon #dogefather https://t.co/gxw4odskdh",0.0,0.0,positive,,,,
"Can’t make it 🚀 $1.00 go!
#DogeCoinTo1Dollar #doge #dogearmy #dogetothemoon #DogecoinRise #Dogecoinarmy #cryptocurrency
Keep me posted my
 🐦 family 😻 https://t.co/tjl5VQ9h0w","can’t make it 🚀 $1.00 go!
#dogecointo1dollar #doge #dogearmy #dogetothemoon #dogecoinrise #dogecoinarmy #cryptocurrency
keep me posted my
 🐦 family 😻 https://t.co/tjl5vq9h0w",0.0,0.0,neutral,0.0,1.0,0.0,0.0
RT @Krypt0Warrior: Dogecoin makes life way more fun! smash that like and retweet if you agree! 🚀🚀🚀 #Dogecoins #dogetothemoon https://t.co/r…, dogecoin makes life way more fun! smash that like and retweet if you agree! 🚀🚀🚀 #dogecoins #dogetothemoon https://t.co/r…,0.484375,0.35,positive,,,,
@goodreads Holding #Dogecoins #dogetothemoon,@goodreads holding #dogecoins #dogetothemoon,0.0,0.0,neutral,0.0,1.0,0.0,0.0
84% of stocks are owned by the top 10% of wealthiest people and expect a whale holding 29% of doge to terrify me? Ha! #dogecoin #dogetothemoon #ElonMuskSNL,84% of stocks are owned by the top 10% of wealthiest people and expect a whale holding 29% of doge to terrify me? ha! #dogecoin #dogetothemoon #elonmusksnl,0.625,0.5,positive,,,,
"RT @USDogecoin: MUCH WOW! #DOGE In 3RD PLACE FOR MARKET CAP!

#Dogecoins #dogearmy #dogetothemoon 🚀 https://t.co/tYzlWV0egX"," much wow! #doge in 3rd place for market cap!

#dogecoins #dogearmy #dogetothemoon 🚀 https://t.co/tyzlwv0egx",0.0625,0.5,positive,,,,
"@dogecoin_rise Please send me some #doge I don't have any #dogearmy #dogecoin #dogefam #dogetothemoon #DogeCoinTo1Dollar 
DL8stbpbmS6qPkNUHqssbsUzPBWiEGkGN5 https://t.co/SMWiV3qkXS","@dogecoin_rise please send me some #doge i don't have any #dogearmy #dogecoin #dogefam #dogetothemoon #dogecointo1dollar 
dl8stbpbms6qpknuhqssbsuzpbwiegkgn5 https://t.co/smwiv3qkxs",0.0,0.0,positive,,,,
RT @WPGlobalNews: #Dogecoin started as a meme coin and now reached 0.74 cents. Will it be another #Bitcoin  in future #doge #dogetothemoon…, #dogecoin started as a meme coin and now reached 0.74 cents. will it be another #bitcoin  in future #doge #dogetothemoon…,0.0,0.125,positive,,,,
